id,skills_in_desc
123463754,CI/CD
123463754,Docker
123463754,Kubernetes
123466755,SQL
123466755,Python
123466755,Excel
123358122,Java
123358122,Kafka
123358122,Jira
123358122,Confluence
123358122,Git
123442429,SQL
123442429,Python
123442429,Excel
123535766,Excel
123456564,Excel
123264300,SQL
123264300,Python
123264300,ML
122428707,SQL
122428707,Python
122428707,Looker
119501061,SQL
119501061,Jira
119501061,Confluence
123524284,SQL
123524284,Python
123524284,Superset
123524284,Excel
123293896,SQL
123293896,Python
123293896,Power BI
123293896,Tableau
123293896,ClickHouse
123293896,Greenplum
123293896,Airflow
123293896,ETL
123293896,ML
123394166,SQL
123394166,Python
123394166,R
123394166,Power BI
123394166,Tableau
123394166,Excel
123355852,SQL
123355852,Python
123355852,ClickHouse
123355852,Spark
123355852,Airflow
123355852,ETL
123355852,ELT
123355852,Git
123488908,Scrum
123488908,Kanban
123488908,Jira
123488908,Confluence
121227692,SQL
121227692,Python
121227692,Excel
123423458,SQL
123423458,Python
123423458,Power BI
123423458,Tableau
123331476,SQL
123331476,Power BI
123331476,Excel
122219621,SQL
122219621,MongoDB
122219621,Jira
122219621,Confluence
122219621,Git
122219621,REST API
122957007,SQL
123307923,Excel
123530602,SQL
123530602,Python
123530602,Excel
121276678,ML
121276678,Математика
121276678,Статистика
123035732,SQL
123035732,Python
123035732,R
123035732,Power BI
123352029,SQL
123352029,R
123352029,Java
123352029,PostgreSQL
123352029,Git
123352029,CI/CD
123352029,Kubernetes
123352029,REST API
123417506,Python
123417506,Математика
123471173,SQL
123494673,Power BI
123494673,Looker
123494673,Excel
123494673,Data Studio
123480985,SQL
123523102,SQL
123523102,Python
123523102,PostgreSQL
123523102,ETL
123523102,ELT
123523102,Pandas
123523102,NumPy
123523102,REST API
121485284,Excel
123337396,SQL
123337396,Python
123337396,Power BI
123337396,Tableau
123337396,Excel
123337396,PostgreSQL
123337396,Oracle
123337396,Spark
123359017,SQL
123359017,Java
123359017,ClickHouse
123070577,SQL
123070577,REST API
123464965,Python
123464965,Java
123464965,PostgreSQL
123464965,Kafka
123464965,NLP
123467088,SQL
123467088,Tableau
123467088,MS SQL
123350454,SQL
123350454,Power BI
123350454,Excel
123419341,SQL
123419341,Excel
122557608,AI
122990896,SQL
121248131,SQL
121248131,Power BI
121248131,Excel
123531073,Python
123531073,1C
123531073,Qlik
123531073,Excel
123531073,ETL
123531073,Pandas
123531073,Scikit-learn
123394602,Python
123394602,ClickHouse
123394602,BigQuery
123394602,Hadoop
123394602,Kafka
123394602,Airflow
123394602,Databricks
123394602,ETL
123394602,Data Lake
123394602,dbt
123394602,Kubernetes
121717726,SQL
121717726,Power BI
121717726,Superset
123417047,PostgreSQL
123417047,MongoDB
123417047,Redis
123417047,Cassandra
123417047,Agile
123417047,Jira
123417047,Confluence
123417047,Kubernetes
121317033,SQL
122428717,Excel
122428717,Статистика
123334795,SQL
123469364,Airflow
123469364,ML
123469364,AI
123469364,NLP
123469364,MLflow
123469364,Git
123469364,Docker
123469364,Pandas
123469364,NumPy
123469364,PyTorch
123362166,SQL
123362166,ClickHouse
123362166,Kafka
123362166,Airflow
123362166,ETL
123514771,Excel
123514771,Google Sheets
122703895,SQL
122703895,PostgreSQL
122703895,Oracle
122703895,Greenplum
122703895,DWH
122703895,ETL
122703895,ELT
122703895,Jira
122703895,Confluence
123477508,Power BI
